ASOCIACION,SIGLAS,TIPO,DOMICILIO,CP,PREFIJO,TELEFONO,E-MAIL,DISTRITO, CLASIFICADA EN
ASOCIACION DE CERVECERIAS Y CAFETERIAS DEL HENARES,ACECADHE,asociaciones de comerciantes,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
ASOCIACION DE COMERCIANTES Y PROFESIONALES DE REYES CATOLICOS DE ALCALA DE HENARES,,asociaciones de comerciantes,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
ASOCIACION DE COMERCIANTES Y PROFESIONALES DEL BARRIO DE LA RINCONADA DE ALCALA DE HENARES,ACOR,asociaciones de comerciantes,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
"ASOCIACION DE COMERCIANTES, EMPRESARIOS Y PROFESIONALES DE LA CIUDAD DE ALCALA DE HENARES",,asociaciones de comerciantes,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
ASOCIACION DE CONSUMIDORES Y USUARIOS DE LA REGION DE MADRID,ACUREMA,asociaciones de consumidores,C/ DAOIZ Y VELARDE 28 2ª PLANTA,28807,,672 09 58 59,acurema@fecumadrid.org,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
ASOCIACION DE EMPRESARIOS DEL HENARES,AEDHE,asociaciones de empresarios,AVDA JUAN CARLOS I 13 PLANTA 10 TORRE GARENA,28806,91,889 50 61,aedhe@aedhe.es,VIII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
ASOCIACION DE HOSTELEROS DE ALCALA,AHOSAL,asociaciones de comerciantes,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
ASOCIACION DE LIBREROS Y PAPELEROS DE ALCALA DE HENARES,ALPAH,asociaciones de comerciantes,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
ASOCIACION DE MUJERES COMERCIANTES Y EMPRESARIAS DEL CORREDOR DEL HENARES,,asociaciones de comerciantes,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
ASOCIACION DE PASTELEROS Y PANADEROS DE ALCALA DE HENARES,,asociaciones de comerciantes,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
ASOCIACION DE PEQUEÑOS Y MEDIANOS EMPRESARIOS Y AUTONOMOS DEL CORREDOR DEL HENARES,,asociaciones de comerciantes,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
"ASOCIACION DE PROFESIONALES DE LA CALLE TALAMANCA, DEL ANGEL Y SUS ADYACENTES",ACOTA,asociaciones de comerciantes,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
ASOCIACION INDEPENDIENTES DEL HENARES,,asociaciones de comerciantes,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
FEDERACION DE EMPRESAS Y COMERCIOS DEL HENARES,FECOHE,federaciones,C/ DAOIZ Y VELARDE 11 1ºA-1ºB,28807,91,888 11 46,fecohe@fecohe.es,VII,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
FOMENTUR,,asociaciones de empresarios,C/ LINARES 2 LOCAL 10 A,28804,91,280 22 22,fincas@pulidogestion.com,V,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
"INFORMACION, FORMACION Y DEFENSA DE CONSUMIDORES Y USUARIOS",INFORMACU ALCALA,asociaciones de consumidores,APARTADO DE CORREOS 255,28800,91,880 65 36,,,"EMPRESARIOS, COMERCIANTES Y CONSUMIDORES"
ALCOHOLICOS ANONIMOS CERVANTES,,,C/ RICO HOME 3-5,28801,91,880 88 86,arcolay@hotmail.com,I,INTEGRACION SOCIAL
ALHENA CENTRO DE APOYO A LOS DISCAPACITADOS,ACADI,,C/ SALVADOR DE MADARIAGA 30,28806,,616 36 44 96,carmen_solanas@hotmail.com,VI,INTEGRACION SOCIAL
ASOCIACION BENEFICO CULTURAL BASES INFORMATICAS TECNOLOGICAS ALCALA,BIT,, C/ GALLEGOS 12 ESC IZQ 4º C,28807,,645 58 63 88,nievesmps@hotmail.com,VII,INTEGRACION SOCIAL
ASOCIACION BETEL,,,"CARRETERA DE PASTRANA KM 2,100",28803,91,525 22 22,,III,INTEGRACION SOCIAL
ASOCIACION DE AMIGOS DEL HOSPITAL PRINCIPE DE ASTURIAS,,,C/ NUESTRA SEÑORA DEL PILAR 13 1º B,28803,,607 76 08 43,,III,INTEGRACION SOCIAL
ASOCIACION DE AMIGOS DENTRO Y FUERA,ADYF,,C/ SANTO TOMAS DE AQUINO 3,28804,91,882 12 20,,IV,INTEGRACION SOCIAL
ASOCIACION DE AYUDA A LAS VICTIMAS DEL 11 M,,,C/ SIMON GARCIA DE PEDRO S/N,28805,91,879 81 49,info@ayuda11M.org,VI,INTEGRACION SOCIAL
ASOCIACION DE AYUDA ANTIALCOHOLICA REHABILITADORA,ASAYAR,,C/ DIEGO LOPEZ DE ZUÑIGA 26 LOCAL,28802,,686 71 42 55,geradoazuar@mi.madritel.es,II,INTEGRACION SOCIAL
ASOCIACION DE DIABETICOS DE ALCALA Y CORREDOR DEL HENARES,ADA,,C/ DAOIZ Y VELARDE 28 1º IZQ,28807,91,878 81 97,adaalcala@yahoo.com,VII,INTEGRACION SOCIAL
ASOCIACION DE ENFERMOS Y FAMILIARES DE ALZHEIMER Y OTRAS ENFERMEDADES NEURODEGENERATIVAS ,AFA ALCALA,,C/ GARCILASO DE LA VEGA 4,28804,91,889 71 70,info@afalcala.org,V,INTEGRACION SOCIAL
ASOCIACION DE ENFERMOS Y FAMILIARES DE ESCLEROSIS MULTIPLE,AEFEM,,AVDA REYES CATOLICOS 9,28803,,677 51 36 92,aefemhenares@terra.es,III,INTEGRACION SOCIAL
ASOCIACION DE FAMILIAS NUMEROSAS,,,C/ VIRGEN DE LORETO 8 3º D,28805,,654 56 49 27,alcalafamilias@hotmail.com,VI,INTEGRACION SOCIAL
ASOCIACION DE FIBROMIALGIA DE LA COMUNIDAD DE MADRID,AFIBROM,,C/ MARQUES DE MONDEJAR S/N,28803,91,882 25 60,afibrom@afibrom.org,III,INTEGRACION SOCIAL
ASOCIACION DE PADRES CON HIJOS MINUSVALIDOS PSIQUICOS DE ALCALA,APHISA,,C/ TENIENTE RUIZ 2 3º A,28805,91,889 48 64,residencia@aphisa.org,VI,INTEGRACION SOCIAL
ASOCIACION DE SORDOS DE ALCALA DE HENARES,,,C/ PABLO CORONEL 34 BAJO ESQUINA PLAZA 1 DE MAYO,28802,,629 25 05 45,a_sordos_a_h@hotmail.com,II,INTEGRACION SOCIAL
ASOCIACION DE TRABAJOS SOCIALES CON COMUNIDADES Y CON PERSONAS,TSCP,,C/ MARIO VARGAS LLOSA 3 C-15,28806,,666 28 00 70,trabajosocialcomunidadypersona@gmail.com,VIII,INTEGRACION SOCIAL
ASOCIACION EN DEFENSA DE ANOREXIA Y BULIMIA,ADANER,,C/ GIL DE ANDRADE 5,28804,91,880 69 75,adaneralcala@tiscali.es,VI,INTEGRACION SOCIAL
ASOCIACION ESPAÑOLA CONTRA EL CANCER ,AECC,,C/ DAOIZ Y VELARDE 28 1ª PLANTA,28807,91,883 08 62,,VII,INTEGRACION SOCIAL
ASOCIACION ESPAÑOLA DE OBESIDAD MORVIDA ,AEEOM,,C/ GIL DE ANDRADE 5 ,28804,,629 12 73 03,,VI,INTEGRACION SOCIAL
ASOCIACION HECRIDEVIAM,,,C/ RIO EBRO 20,28804,,649 61 29 28,,IV,INTEGRACION SOCIAL
ASOCIACION IGLESIA COMO LAS AGUILAS,,,C/ ANIMAS 11,28804,91,882 77 88,nestorclaudiofernandez@hotmail.com,V,INTEGRACION SOCIAL
ASOCIACION MUSICA Y DISCAPACIDAD,,,C/ PADRE EMILIO DE MIGUEL CONCHA 56,28806,91,830 53 58,escuelamyd@gmail.com,VIII,INTEGRACION SOCIAL
ASOCIACION PARA EL CRECIMIENTO PERSONAL Y LA SALUD,,,C/ RICO HOME 3-5,28801,,679 78 55 69,acpsalud@terra.es,I,INTEGRACION SOCIAL
ASOCIACION PARA LA INTEGRACION SOCIAL DE ENFERMOS PSIQUICOS,APISEP,,C/ PABLO CORONEL 34 LOCAL,28802,91,883 29 70 ,apisepnet@jazfree.com,II,INTEGRACION SOCIAL
ASOCIACION PARA PERSONAS CON TRASTORNO DEL ESPECTRO AUTISTA,ASTEA HENARES,,C/ MARQUES DE MONDEJAR S/N,28803,91,878 82 96,asteahenares@yahoo.es,III,INTEGRACION SOCIAL
ASOCIACION PRODERECHOS DEL NIÑO SOS PAPA MADRID ,,,CAMINO DEL JUNCAL 3 3º C,28802,,626 48 81 92,juancarlos@sospapa.es,II,INTEGRACION SOCIAL
ASOCIACION PROVIDA ALCALA DE HENARES,,,C/ LEOPOLDO ALAS CLARIN 13,28806,91,878 76 60,alcala@provida.es,VIII,INTEGRACION SOCIAL
ASOCIACION REMAR,,,AVDA GUADALAJARA 38 BAJO,28805,,690 11 53 98,juanlu@visual777.com,VI,INTEGRACION SOCIAL
ATLAS EN DEFENSA DE LA ADOPCION,,,C/ TORRELAGUNA 21 ,28806,91,888 43 80,,VIII,INTEGRACION SOCIAL
CARITAS DIOCESANA DE ALCALA DE HENARES,,,VIA COMPLUTENSE 8,28802,91,883 20 45,caritasalcala@telefonica.net,I,INTEGRACION SOCIAL
CLUB UNESCO ALCALA DE HENARES,,,C/ DAOIZ Y VELARDE 28,28807,,696 44 15 06,,VII,INTEGRACION SOCIAL
COLECTIVO DE ACCION PARA EL JUEGO Y LA EDUCACION ,CAJE,,C/ DIEGO LOPEZ DE ZUÑIGA 28,28802,91,882 61  57,juanillocaje@hotmail.com,II,INTEGRACION SOCIAL
EQUIPO DE APOYO INTEGRAL MADRID,TANIT,,AVDA VIRGEN DEL VAL 11 6º B,28804,91,888 54 28,,V,INTEGRACION SOCIAL
ESCUELA POPULAR CHINCHACHOMA,,,C/ PEDRO DE LERMA 2,28802,91,280 67 88,escuelap@escuelaparatodos.org,II,INTEGRACION SOCIAL
"FUNDACION SOCIAL ""CRISTO DE LA PAZ""",,,PASEO DE LOS CURAS 26,28803,91,889 38 39,,III,INTEGRACION SOCIAL
"GRUPO DE APOYO Y SEGUIMIENTO AL JOVEN ""FENIX""",,,C/ DAOIZ Y VELARDE 28 2º IZQ,28807,91,881 37 10,grupofenix@wanadoo.es,VII,INTEGRACION SOCIAL
GRUPO DE TERAPIA ANTIALCOHOLICA REHABILITADORA,GRUTEAR,,C/ DAOIZ Y VELARDE 9 1º,28807,91,889 41 19,,VII,INTEGRACION SOCIAL
LA SAL DE LA TIERRA,,,C/ MEJORADA DEL CAMPO 5,28806,91,883 39 58,lasalmadrid@terra.es,VIII,INTEGRACION SOCIAL
LAS NAVES. CENTRO DE FORMACION Y ATENCION SOCIOEDUCATIVA,,,C/ RIO TAJUÑA 2,28803,91,881 69 39,lasnaves@pinardi.com,III,INTEGRACION SOCIAL
ORGANIZACION NACIONAL DE CIEGOS ,ONCE,,C/ LUIS DE TORRES 6,28805,91,888 03 18,,VI,INTEGRACION SOCIAL
PATRONATO SAN JOSE PARA IMPEDIDAS,,,AVDA DE MECO 14 BAJO,28805,91,889 35 70,,VI,INTEGRACION SOCIAL
PROYECTO HOMBRE,,,AVDA REYES CATOLICOS 26,28802,,,phgu@ph.e.telefonica.net,II,INTEGRACION SOCIAL
VEN,,,C/ EDUARDO PASCUAL Y CUELLAR 1,28806,,677 69 78 62,asociacion_ven@hotmail.com,VIII,INTEGRACION SOCIAL
ASOCIACION DE GLAUCOMA PARA AFECTADOS Y FAMILIARES,,,C/ DAOIZ Y VELARDE 28 PLANTA BAJA DCHA,28807,91,889 58 89,asociaciondeglaucoma@yahoo.es,VII,INTEGRACION SOCIAL 
AGUILA BLANCA,,,PLAZA DEL BARRO 2 3º B,28803,,606 23 77 46,info@aguilablanca.org,III,INTERCULTURAL Y ONG
AMNESTY INTERNATIONAL,,,C/ DAOIZ Y VELARDE 28 1ª PLANTA,28807,,651 82 39 32,alcala@madrid.es.amnesty.org,VII,INTERCULTURAL Y ONG
ASOCIACION AFRICA HERITAGE DE ALCALA,,,C/ SAN FRUCTUOSO 8 Bº B,28802,,626 80 86 01,stgahdt@yahoo.co.uk,II,INTERCULTURAL Y ONG
ASOCIACION ALMADINA DE ALCALA DE HENARES,,,C/ CALASANZ 2,28805,,646 74 61 31,,VI,INTERCULTURAL Y ONG
ASOCIACION CULTURAL DE AYUDA E INTEGRACION AL PUEBLO RUMANO,,,CAMINO VIEJO DELA ESGARAVITA 12 1º B,28805,,678 05 62 34,asromalcala2002@yahoo.es,VI,INTERCULTURAL Y ONG
ASOCIACION DE AMIGOS DEL PUEBLO SAHARAUI,,,CAMINO DE JESUITAS S/N C C GILITOS,28805,,690 39 71  53,saharalcala@hotmail.com,V,INTERCULTURAL Y ONG
ASOCIACION DE AYUDA A LA REPUBLICA DOMINICANA ,ASOCARDE,,C/ NUESTRA SEÑORA DE BELEN 33 3º B,28802,91,880 92 19,asocarde@hotmail.com,II,INTERCULTURAL Y ONG
ASOCIACION DE INMIGRANTES MARKASA PERU,,,C/ JUAN DE SOTO 6 4º D,28804,,678 37 02 34,,V,INTERCULTURAL Y ONG
ASOCIACION DE SOLIDARIDAD CON LOS TRABAJADORES INMIGRANTES ,ASTI,,VIA COMPLUTENSE 8,28802,91,888 53 26,,I,INTERCULTURAL Y ONG
ASOCIACION DE UCRANIANOS DE ALCALA DE HENARES,,,C/ BUENDIA 6 2º B,28803,,615 64 31 93,ukrshkolaalcala@bigmir.net,III,INTERCULTURAL Y ONG
ASOCIACION PARA EL DESARROLLO HUMANO INTEGRAL Y SOSTENIBLE,ADHIS,,C/ MIGUEL ANGEL 5 6º D,28802,91,280 60 80,ongadhis@yahoo.es,II,INTERCULTURAL Y ONG
ASOCIACION UNION HISPANO RUMANA DACIA EN ALCALA DE HENARES ,,,C/ FEDERICO GARCIA LORCA 23 2º A,28806,,665 11 65 58,uniunea@gmail.com,IX,INTERCULTURAL Y ONG
AYUDA EN ACCION,,,C/ JOSE RUIZ AZORIN 55 1º D,28806,,667 29 42 10,frang2@hotmail.com,VIII,INTERCULTURAL Y ONG
BALCANIA SOLIDARIDAD CON LOS BALCANES,,,AVDA REYES CATOLICOS 26,28802,,656 27 89 47,info@balcania.org,II,INTERCULTURAL Y ONG
CARITAS DIOCESANA DE ALCALA DE HENARES,,,VIA COMPLUTENSE 8,28802,91,883 20 45,caritasalcala@telefonica.net,I,INTERCULTURAL Y ONG
CENTRO EUROPEO IBEROANDINO,,,C/ JUAN DE SOTO 6 4º D,28804,,678 37 02 34,,V,INTERCULTURAL Y ONG
COLECTIVO GITANO MAYA,,,C/ PABLO CORONEL 4,28802,91,280 67 11,,II,INTERCULTURAL Y ONG
CRUZ ROJA ESPAÑOLA,,,C/PEDRO SARMIENTO DE GAMBOA 3,28805,91,883 60 63,cl-alcala@cruzroja.es,VI,INTERCULTURAL Y ONG
FONDO DE NACIONES UNIDAS PARA LA INFANCIA,UNICEF ESPAÑA,,C/ DAOIZ Y VELARDE 28,28807,91,883 20 74,alcalahenares@unicef.es,VII,INTERCULTURAL Y ONG
FUNDACION PARA EL DESARROLLO HUMANO DE AFRICA,,,C/ NICOLAS DE OVANDO 4 1º C,28802,,648 65 51 33,info@africanfuture.org,II,INTERCULTURAL Y ONG
MANOS UNIDAS ,,,VIA COMPLUTENSE 8,28802,91,883 35 44,alcaladehenares@manosunidas.org,I,INTERCULTURAL Y ONG
SOLIDARIDAD Y COOPERACION ENTRE ESPAÑA Y AMERICA LATINA,SOCEALA,,C/ RIO TAJUÑA 5 3ºC,28803,91,881 23 39,info@soceala.org,IV,INTERCULTURAL Y ONG
ACCION CATOLICA GENERAL DE INFANCIA,,,C/ DOCTORA DE ALCALA S/N PARROQUIA SAN ISIDRO,28807,,626 84 09 02,cd_alcala@yahoo.es,VII,JUVENILES E INFANTILES
AMIGOS POR EL FRISBEE,,,C/ DAOIZ Y VELARDE 16 2º C,28807,,653 96 84 94,joshuamigue@hotmail.com,VII,JUVENILES E INFANTILES
ASOCIACION CULTURAL PEÑALEN,,,C/ CARDENAL CISNEROS 26 2º,28802,91,882 31 93,penalen.alcala@ono.com,I,JUVENILES E INFANTILES
ASOCIACION CULTURAL ZARCO,,,C/ SANTIAGO 42,28801,,676 19 32 22,clubzarco@gmail.com,I,JUVENILES E INFANTILES
ASOCIACION EXCURSIONISTA Y DE TIEMPO LIBRE ALTER EGO,,,AVDA VIRGEN DEL VAL 2 ,28804,91,889 66 12,,V,JUVENILES E INFANTILES
ASOCIACION GRUPO SCOUT 291 ALFA CENTAURO,,,C/ RIO TAJO 18,28804,,651 98 93 26,info@grupo291.com,IV,JUVENILES E INFANTILES
ASOCIACION JUVENIL LAS NAVES,,,C/ RIO TAJUÑA 2,28803,91,882 26 44,lasnaves@valdoco.com,III,JUVENILES E INFANTILES
ASOCIACION JUVENIL NONOS,,,C/ PABLO CORONEL 30 BAJO POST,28802,,650 03 41 97,nonosasoc@yahoo.es,II,JUVENILES E INFANTILES
CENTRO CULTURAL Y JUVENIL ADAC,,,C/ JUAN DE ZUÑIGA 3 1º B,28805,,662 40 45 03,asociacionculturaladac@hotmail.com,V,JUVENILES E INFANTILES
CENTRO JUVENIL CISNEROS,,,C/ CARDENAL CISNEROS 5-7,28801,91,888 04 97,cisneros@valdoco.com,I,JUVENILES E INFANTILES
CENTRO JUVENIL SAN FRANCISCO,,,AVDA REYES CATOLICOS 26,28802,91,889 06 69,,II,JUVENILES E INFANTILES
COLECTIVO DE ACCION PARA EL JUEGO Y LA EDUCACION,CAJE,,C/ DIEGO LOPEZ DE ZUÑIGA 28,28802,91,882 61 57,juanillocaje@hotmail.com,II,JUVENILES E INFANTILES
CRUZ ROJA ESPAÑOLA,,,C/ PEDRO SARMIENTO DE GAMBOA 3,28805,91,883 60 63,cl-alcala@cruz roja.es,VI,JUVENILES E INFANTILES
DEPARTAMENTO DE JUVENTUD DE CCOO,,,VIA COMPLUTENSE 19,28807,91,280 06 52,corredorccoo@mi.madritel.es,VII,JUVENILES E INFANTILES
DEPARTAMENTO DE JUVENTUD DE UGT,,,C/ SIMON GARCIA DE PEDRO 2,28805,91,888 08 18,uceste@madrid.ugt.org,VI,JUVENILES E INFANTILES
GRUPO SCOUT 566 BETELGEUSE DE EXPLORADORES DE MADRID,,,"CLUB MILITAR ""MIGUEL DE CERVANTES"" CTRA DE MECO S/N ",28805,,685 85 42 31,info@grupo566.com,V,JUVENILES E INFANTILES
GRUPO SCOUT MSC CALASANZ VAL,,,C/ MURILLO 15 4º D,28807,,645 57 24 02,info@calasanz-val.org,VII,JUVENILES E INFANTILES
GUPIS DE ALCALA DE HENARES,,,C/ LOPE DE RUEDA 2 4º E ESC DCHA,28805,91,880 18 56,,VI,JUVENILES E INFANTILES
JOVENES DE ACCION CATOLICA ,JAC,,C/ DOCTORA DE ALCALA S/N PARROQUIA SAN ISIDRO,28807,,696 33 82 83,cd_alcala@yahoo.es,VII,JUVENILES E INFANTILES
JUVENTUD COMUNISTA,,,RONDA DE PESCADERIA 10,28801,91,889 73 07,alcala@jcmadrid.org,I,JUVENILES E INFANTILES
JUVENTUDES SOCIALISTAS,,,C/ RIO MIÑO 3 Bº IZQ,28804,91,883 26 66,jjss.alcala@gmail.com,IV,JUVENILES E INFANTILES
LA TABERNA DEL PONEY PISADOR,,,AVDA VIRGEN DEL VAL 2 ,28804,91,889 66 12,,V,JUVENILES E INFANTILES
LAS NAVES. CENTRO DE FORMACION Y ATENCION SOCIOEDUCATIVA,,,C/ RIO TAJUÑA 2,28803,91,881 69 39,lasnaves@pinardi.com,III,JUVENILES E INFANTILES
NUEVAS GENERACIONES PARTIDO POPULAR,,,PLAZA DE CERVANTES 29 1º CENTRO,28801,91,889 20 33,,I,JUVENILES E INFANTILES
ASOCIACION CULTURAL ENEA,,,AVDA VIRGEN DEL VAL 2 ,28804,,646 26 99 66,natalia.franco.malletti@gmail.com,V,MEDIOAMBIENTE
ASOCIACION DE CACTOFILOS,,,JARDIN BOTANICO CAMPUS UNIVERSITARIO,28805,91,881 98 03,jardin.botanico@uah.es,VI,MEDIOAMBIENTE
ASOCIACION DE CIENCIAS AMBIENTALES,,,FACULTAD DE CC AMBIENTALES CAMPUS UNIVERSITARIO,28805,,,aca@ciencias-ambientales.org,VI,MEDIOAMBIENTE
ASOCIACION PROTECTORA DE ANIMALES Y PLANTAS SAN MARTIN DE PORRES,,,APARTADO DE CORREOS 53,28800,,639 10 00 08,apap@apap-alcala.org,VIII,MEDIOAMBIENTE
ASOCIACION UNIVERSITARIA GURUCAN,AUG,,"FACULTAD DE BIOLOGIA EDIFIC DE CIENCIAS CAMPUS UNIV CTRA MADRID BARCELONA KM 33,600",28805,91,889 22 07 ,,VI,MEDIOAMBIENTE
COLECTIVO CICONIA,,,C/ JUAN DE BORGOÑA 6 1º-1º,28805,91,878 81 85,juanprietomartin@yahoo.es,VI,MEDIOAMBIENTE
ECOLOGISTAS EN ACCION ALCALA DE HENARES,,,C/ DAOIZ Y VELARDE 28 2ª PLANTA,28807,91,889 81 98,alcaladehenares@ecologistasenaccion.org,VII,MEDIOAMBIENTE
EL CIRCULO DEL BONSAI,,,JARDIN BOTANICO CAMPUS UNIVERSITARIO,28805,91,881 98 03,jardin.botanico@uah.es,VI,MEDIOAMBIENTE
GLOB NATURE,,,C/ RIBERA 12 1º A,28805,,628 29 82 72,globnature@gmail.com,V,MEDIOAMBIENTE
GRUPO ORNITOLOGICO ALCEDO,,,FACULTAD DE BIOLOGIA CAMPUS UNIVERSITARIO,28805,91,885 40 00,goalcedo@hotmail.com,VI,MEDIOAMBIENTE
GRUPO ORNITOLOGICO DE ALCALA DE HENARES,,,C/ BARTOLOME DE CASTRO 1 POSTERIOR,28802,91,889 44 37,,II,MEDIOAMBIENTE
SOCIEDAD ESPAÑOLA PARA LA CONSERVACION Y EL ESTUDIO DE LOS MURCIELAGOS,SECEMU,,FACULTAD DE BIOLOGIA CAMPUS UNIVERSITARIO,28805,91,885 40 00,secemu@ctv.es,VI,MEDIOAMBIENTE
ASOCIACION DE ANTIGUAS ALUMNAS DE  EMA,,,C/ ARCIPRESTE DE HITA S/N ESC MUNICIPAL PERSONAS ADULTAS,28801,91,882 46 91,ema@ayto-alcaladehenares.es,I,MUJERES
"ASOCIACION DE ANTIGUAS ALUMNAS EPA ""DON JUAN I""",,,C/ DAOIZ Y VELARDE 28 ESCUELA ADULTOS DON JUAN I,28807,91,881 51 56,pumer_pumer@hotmail.com,VII,MUJERES
ASOCIACION DE MUJERES CRIANZA CON APEGO DEL HENARES,,,VIA COMPLUTENSE 130 CENTRO DE FORMACION DE LA MUJER,28805,,630 96 64 72,acah10@gmail.com,VI,MUJERES
ASOCIACION DE MUJERES DE ALCALA,,,PASEO DE LOS PINOS 1 JUNTA MUNICIPAL DISTRITO III,28806,91,881 06 12,chelines@telefonica.net,VIII,MUJERES
ASOCIACION DE MUJERES DEMOCRATAS INDEPENDIENTES COMPLUTENSES,AMDIC,,,,91,888 05 53,n-murillo-2@hotmail.com,,MUJERES
ASOCIACION DE MUJERES DISTRITO IV,,,C/ ENTREPEÑAS 6 2ª PLANTA ,28803,91,882 64 14,,IV,MUJERES
ASOCIACION DE MUJERES EN IGUALDAD,,,C/ RICO HOME 3-5,28801,,686 63 62 34,mdalcala2005@yahoo.es,I,MUJERES
ASOCIACION DE MUJERES INMIGRANTES,,,PASEO DE LOS PINOS 1 JUNTA MUNICIPAL DISTRITO III,28806,,638 05 05 80,,VIII,MUJERES
ASOCIACION DE MUJERES PARA EL 2000,,,VIA COMPLUTENSE 130 CENTRO DE FORMACION DE LA MUJER,28805,91,880 30 48,,VI,MUJERES
ASOCIACION DE MUJERES SEPARADAS Y DIVORCIADAS DE ALCALA,,,C/ RICO HOME 3-5,28801,,686 38 00 90,yosoymamen@yahoo.es,I,MUJERES
ASOCIACION DE MUJERES VIA COMPLUTENSE,,,C/ GIL DE ANDRADE 5,28804,91,881 73 53,,VI,MUJERES
ASOCIACION DE VIUDAS DE ALCALA,,,C/ RICO HOME 3-5,28801,91,820 02 06,,VI,MUJERES
ASOCIACION SOCIOCULTURAL DE LA MUJER,,,APARTADO DE CORREOS 122,28800,91,888 45 52,mtangelespacho@yahoo.es,II,MUJERES
CLUB TAURINO ALCALAINO,,taurina,PASEO DE LA ESTACION 15,28807,91,888 22 75,,VII,PEÑAS
PEÑA ABEJORROS,,festiva,C/ GONDOLA 2 3º B,28801,,607 11 93 28,,I,PEÑAS
PEÑA ALCALAINA DEL REAL MADRID,,futbolística,C/ MAYOR 70,28801,,639 04 22 86,,I,PEÑAS
PEÑA BARCELONISTA ALCALA DE HENARES,,futbolistica,C/ ERA HONDA 2,28803,91,883 72 85,,III,PEÑAS
PEÑA BETICA COMPLUTENSE,,futbolística,C/ NUEVO BAZTAN 5,28806,91,881 35 12,,VIII,PEÑAS
PEÑA BUFONES,,festiva,RONDA FISCAL 42 1º A,28803,,628 66 46 04,,III,PEÑAS
PEÑA CAZO,,festiva,C/ LUIS VIVES 1 8º A,28803,,646 68 43 62,,III,PEÑAS
PEÑA COMPLUTENSE EL QUIJOTE,,festiva,C/ GIL DE HONTAÑON S/N,28805,,639 52 70 39,luegoclementejesus@hotmail.com,VI,PEÑAS
PEÑA DESBARAJUSTE,,festiva,C/ RIO SALADO 4 3º A,28803,,654 52 38 72,,III,PEÑAS
PEÑA DOBLONES,,festiva,C/ JOSE MARIA PEREDA 31 1º A,28806,,678 62 99 21,,VIII,PEÑAS
PEÑA EL MARCADOR DEL VAL,,futbolística,AVDA VIRGEN DEL VAL 35,28804,91,883 54 00,,VI,PEÑAS
PEÑA FARAONES,,festiva,C/ MURANO 3 7º B,28801,,615 84 21 85,,I,PEÑAS
PEÑA GOLPE,,festiva,,,,687 94 89 77,,,PEÑAS
PEÑA GRILLAOS,,festiva,C/ PARQUE 15 3º C,28807,,661 28 93 16,,VII,PEÑAS
PEÑA HORMIGON,,festiva,C/ MARQUES ALONSO MARTINEZ 13 3º C,28805,,655 21 25 95,,V,PEÑAS
PEÑA JARDINEROS,,festiva,,,,626 49 07 72,www.losjardineros.com,,PEÑAS
PEÑA JUGLAR,,festiva,,,,679 98 45 87,www.eljuglar.com,,PEÑAS
PEÑA MADRIDISTA ALCALAINA,,futbolistica,C/ MAYOR 70 BAR NINO,28801,,639 04 22 86,,I,PEÑAS
PEÑA MADRIDISTA RAMON MENDOZA,,futbolistica,C/ TURINA 2 CAFETERIA JAVIS,28806,,661 33 85 26,,VIII,PEÑAS
